#(1+z) ratio in the ADIAB simulation
#z,log10(mass_lower),log10(mass_upper),mass_mean,mass_errl,mass_erru,ratio_median,ratio_errl,ratio_erru
#notes: redshift,"mass bin, lower end","mass bin, upper end",mean mass in the bin,"1sigma error of mass, lower end","1sigma error of mass, upper end",median (1+z) ratio in the bin,"1sigma error of (1+z) ratio, lower end","1sigma error of (1+z) ratio, upper end"
#units: 1,log10(Msol),log10(Msol),Msol,Msol,Msol,1,1,1
5.03809,9.4,10.4,5.64241e+09,3.13691e+08,3.32317e+08,1.08748,0.00138071,0.000735878
5.03809,9.5,10.5,6.80938e+09,4.1993e+08,4.50136e+08,1.08755,0.00154081,0.00112731
5.03809,9.6,10.6,8.74075e+09,6.40362e+08,6.94768e+08,1.08688,0.00198258,0.0016358
5.03809,9.7,10.7,1.11984e+10,9.89114e+08,1.10577e+09,1.08532,0.0017178,0.00249266
5.03809,9.8,10.8,1.39242e+10,1.41559e+09,1.60137e+09,1.08449,0.00723989,0.00306697
5.03809,9.9,10.9,1.72198e+10,2.00277e+09,2.27952e+09,1.07834,0.00918023,0.00875888
5.03809,10,11,2.24125e+10,3.18698e+09,3.71668e+09,1.0692,0.0222577,0.0178992
5.03809,10.1,11.1,2.84523e+10,4.6946e+09,5.6252e+09,1.05882,0.017845,0.0218621
5.03809,10.2,11.2,3.60105e+10,6.15733e+09,7.40434e+09,1.04892,0.011789,0.0294311
5.03809,10.3,11.3,3.96561e+10,6.83259e+09,8.32014e+09,1.04125,0.0131472,0.0356171
5.03809,10.4,11.4,5.01713e+10,8.67931e+09,1.05905e+10,1.04093,0.0172909,0.0282576
5.03809,10.5,11.5,5.51199e+10,9.28204e+09,1.16729e+10,1.03082,0.0134858,0.0309585
5.03809,10.6,11.6,6.27295e+10,1.06742e+10,1.36721e+10,1.03353,0.0196331,0.0209013
5.03809,10.7,11.7,7.39318e+10,1.36191e+10,1.67087e+10,1.03082,0.0169193,0.0112736
5.03809,10.8,11.8,8.61647e+10,1.57535e+10,1.71075e+10,1.02077,0.0139712,0.0213258
5.03809,10.9,11.9,9.97585e+10,1.09094e+10,2.02939e+10,1.02077,0.00686708,0.012766
5.03809,11,12,1.20052e+11,0,0,1.02077,0,0
5.03809,11.1,12.1,-9999,-9999,-9999,1,-9999,-9999
5.03809,11.2,12.2,-9999,-9999,-9999,1,-9999,-9999
5.03809,11.3,12.3,-9999,-9999,-9999,1,-9999,-9999
5.03809,11.4,12.4,-9999,-9999,-9999,1,-9999,-9999
5.03809,11.5,12.5,-9999,-9999,-9999,1,-9999,-9999
5.07678,7.5,8.5,8.73967e+07,592047,596971,1.08487,0.000548156,0.000481772
5.07678,7.6,8.6,1.08576e+08,813336,816588,1.08626,0.000836142,0.000680295
5.07678,7.7,8.7,1.3531e+08,1.12075e+06,1.12511e+06,1.08705,0.000566335,0.000711745
5.07678,7.8,8.8,1.69254e+08,1.55007e+06,1.55412e+06,1.08716,0.000664582,0.000645027
5.07678,7.9,8.9,2.12706e+08,2.15984e+06,2.18072e+06,1.08691,0.000613102,0.000603395
5.07678,8,9,2.66353e+08,2.97149e+06,3.01754e+06,1.08666,0.000589001,0.000642268
5.07678,8.1,9.1,3.33187e+08,4.14441e+06,4.17934e+06,1.08636,0.000629689,0.000609706
5.07678,8.2,9.2,4.16498e+08,5.65069e+06,5.79179e+06,1.08594,0.000570065,0.000579606
5.07678,8.3,9.3,5.22731e+08,7.93488e+06,8.03747e+06,1.08615,0.00054993,0.000579595
5.07678,8.4,9.4,6.49691e+08,1.09226e+07,1.11703e+07,1.08641,0.000599457,0.000601681
5.07678,8.5,9.5,8.02975e+08,1.50513e+07,1.51966e+07,1.08656,0.000621906,0.000736679
5.07678,8.6,9.6,1.01941e+09,2.17156e+07,2.23367e+07,1.08652,0.000616516,0.000759977
5.07678,8.7,9.7,1.25692e+09,2.96315e+07,3.01665e+07,1.08666,0.000732124,0.000745308
5.07678,8.8,9.8,1.55691e+09,4.11585e+07,4.19517e+07,1.08668,0.000738433,0.000785146
5.07678,8.9,9.9,1.94547e+09,5.72644e+07,5.93636e+07,1.08685,0.000647255,0.000925029
5.07678,9,10,2.4257e+09,8.19949e+07,8.47282e+07,1.08704,0.000782576,0.000874292
5.07678,9.1,10.1,3.00987e+09,1.15424e+08,1.20046e+08,1.0868,0.000772274,0.000964349
5.07678,9.2,10.2,3.74034e+09,1.61159e+08,1.68652e+08,1.08741,0.000955528,0.0010112
5.07678,9.3,10.3,4.57103e+09,2.19304e+08,2.2985e+08,1.08709,0.00096637,0.00119367
5.07678,9.4,10.4,5.63278e+09,3.14572e+08,3.34841e+08,1.08718,0.00117347,0.00125391
5.07678,9.5,10.5,6.7798e+09,4.21577e+08,4.45658e+08,1.08726,0.00133638,0.00140258
5.07678,9.6,10.6,8.76911e+09,6.43528e+08,7.00906e+08,1.0868,0.00151072,0.00177256
5.07678,9.7,10.7,1.13337e+10,1.01974e+09,1.14699e+09,1.08564,0.00276276,0.00214331
5.07678,9.8,10.8,1.39946e+10,1.42806e+09,1.57939e+09,1.08524,0.00750119,0.00219579
5.07678,9.9,10.9,1.71667e+10,1.97248e+09,2.2439e+09,1.083,0.0128104,0.00366381
5.07678,10,11,2.21167e+10,3.03554e+09,3.51252e+09,1.07777,0.0154385,0.00786738
5.07678,10.1,11.1,2.82314e+10,4.5436e+09,5.40431e+09,1.07019,0.0332012,0.0150554
5.07678,10.2,11.2,3.48898e+10,5.77181e+09,6.97988e+09,1.06255,0.0273962,0.0152616
5.07678,10.3,11.3,3.93083e+10,6.65881e+09,8.09017e+09,1.05164,0.017598,0.0261316
5.07678,10.4,11.4,4.88403e+10,8.28077e+09,1.01795e+10,1.03534,0.0152848,0.0348341
5.07678,10.5,11.5,5.35933e+10,8.75476e+09,1.12007e+10,1.03101,0.0159509,0.0314236
5.07678,10.6,11.6,6.08644e+10,9.9278e+09,1.2858e+10,1.02713,0.0127107,0.0206465
5.07678,10.7,11.7,7.42069e+10,1.33007e+10,1.72563e+10,1.02167,0.0138214,0.013231
5.07678,10.8,11.8,8.24809e+10,1.49741e+10,1.81992e+10,1.01442,0.0139903,0.0213674
5.07678,10.9,11.9,9.51334e+10,1.40089e+10,2.20778e+10,1.01442,0.00656598,0.0127107
5.07678,11,12,1.17211e+11,0,0,1.01442,0,0
5.07678,11.1,12.1,-9999,-9999,-9999,1,-9999,-9999
5.07678,11.2,12.2,-9999,-9999,-9999,1,-9999,-9999
5.07678,11.3,12.3,-9999,-9999,-9999,1,-9999,-9999
5.07678,11.4,12.4,-9999,-9999,-9999,1,-9999,-9999
5.07678,11.5,12.5,-9999,-9999,-9999,1,-9999,-9999
5.11609,7.5,8.5,8.73966e+07,597891,597050,1.08528,0.000515215,0.000489349
5.11609,7.6,8.6,1.08699e+08,822139,821503,1.08611,0.000549604,0.000667591
5.11609,7.7,8.7,1.35114e+08,1.11458e+06,1.1371e+06,1.08712,0.000717801,0.00073516
5.11609,7.8,8.8,1.69093e+08,1.55691e+06,1.56877e+06,1.08714,0.000622747,0.000692526
5.11609,7.9,8.9,2.12881e+08,2.16684e+06,2.16608e+06,1.08684,0.000721364,0.000600543
5.11609,8,9,2.6552e+08,2.97812e+06,2.98227e+06,1.08655,0.000598613,0.000641232
5.11609,8.1,9.1,3.32835e+08,4.1107e+06,4.17069e+06,1.08613,0.000467679,0.000714781
5.11609,8.2,9.2,4.15152e+08,5.70733e+06,5.71329e+06,1.08596,0.000512185,0.000625668
5.11609,8.3,9.3,5.19419e+08,7.8558e+06,8.01341e+06,1.08612,0.000531302,0.000656371
5.11609,8.4,9.4,6.46843e+08,1.08985e+07,1.11421e+07,1.08633,0.000593318,0.000666837
5.11609,8.5,9.5,8.00738e+08,1.51243e+07,1.53894e+07,1.08674,0.000612427,0.000687197
5.11609,8.6,9.6,1.01934e+09,2.19842e+07,2.23177e+07,1.08669,0.000571101,0.000640302
5.11609,8.7,9.7,1.25534e+09,2.99741e+07,3.03958e+07,1.08655,0.000496841,0.000743141
5.11609,8.8,9.8,1.55462e+09,4.11851e+07,4.21666e+07,1.08682,0.000593026,0.000754228
5.11609,8.9,9.9,1.94454e+09,5.7635e+07,5.95308e+07,1.0869,0.00064684,0.0007858
5.11609,9,10,2.42026e+09,8.1624e+07,8.44416e+07,1.08726,0.000872764,0.000745085
5.11609,9.1,10.1,3.01722e+09,1.15292e+08,1.19907e+08,1.08696,0.000674968,0.00085737
5.11609,9.2,10.2,3.72133e+09,1.59649e+08,1.66777e+08,1.08724,0.00086586,0.000983877
5.11609,9.3,10.3,4.55016e+09,2.17691e+08,2.29582e+08,1.08681,0.000698774,0.00118814
5.11609,9.4,10.4,5.62942e+09,3.15236e+08,3.35183e+08,1.08688,0.000748348,0.00143746
5.11609,9.5,10.5,6.76937e+09,4.2211e+08,4.55065e+08,1.08673,0.00106616,0.00129318
5.11609,9.6,10.6,8.78757e+09,6.57153e+08,7.18744e+08,1.08699,0.00200988,0.00162435
5.11609,9.7,10.7,1.12231e+10,1.02213e+09,1.14415e+09,1.08524,0.00532622,0.00253133
5.11609,9.8,10.8,1.40459e+10,1.45744e+09,1.65698e+09,1.08397,0.00562323,0.00392871
