#mass ratio in the WTHERM simulation
#z,log10(mass_lower),log10(mass_upper),mass_mean,mass_errl,mass_erru,ratio_mean,ratio_errl,ratio_erru
#notes: redshift,"mass bin, lower end","mass bin, upper end",mean mass in the bin,"1sigma error of mass, lower end","1sigma error of mass, upper end",mean mass ratio in the bin,"1sigma error of mass ratio, lower end","1sigma error of mass ratio, upper end"
#units: 1,log10(Msol),log10(Msol),Msol,Msol,Msol,1,1,1
5.03809,10.2,11.2,3.65184e+10,5.84199e+09,7.12181e+09,0.661374,0.0396885,0.038318
5.03809,10.3,11.3,4.20374e+10,7.0152e+09,8.55357e+09,0.666347,0.0459743,0.0446397
5.03809,10.4,11.4,5.08859e+10,9.05556e+09,1.11353e+10,0.683321,0.0521761,0.0496705
5.03809,10.5,11.5,6.15411e+10,1.12293e+10,1.39765e+10,0.706904,0.0588545,0.055912
5.07678,7.5,8.5,8.88076e+07,538182,537869,0.564208,0.00154854,0.00155287
5.07678,7.6,8.6,1.09307e+08,722005,726020,0.566671,0.00162855,0.00160748
5.07678,7.7,8.7,1.34125e+08,971451,988358,0.569346,0.00168737,0.00167883
5.07678,7.8,8.8,1.68053e+08,1.34759e+06,1.36872e+06,0.573174,0.00179223,0.0017895
5.07678,7.9,8.9,2.1125e+08,1.88896e+06,1.89824e+06,0.576318,0.00196547,0.0019475
5.07678,8,9,2.64754e+08,2.6319e+06,2.6588e+06,0.579328,0.00213857,0.0021368
5.07678,8.1,9.1,3.32794e+08,3.65362e+06,3.71743e+06,0.583379,0.00235944,0.00238055
5.07678,8.2,9.2,4.1331e+08,5.02931e+06,5.10442e+06,0.586679,0.00260384,0.00265008
5.07678,8.3,9.3,5.20312e+08,7.09446e+06,7.22739e+06,0.591823,0.00296636,0.00293063
5.07678,8.4,9.4,6.50476e+08,9.7868e+06,9.87996e+06,0.596673,0.00327697,0.00328613
5.07678,8.5,9.5,8.10291e+08,1.36157e+07,1.38461e+07,0.603063,0.00366169,0.00367304
5.07678,8.6,9.6,1.0122e+09,1.90561e+07,1.92976e+07,0.609461,0.00409209,0.00406759
5.07678,8.7,9.7,1.26204e+09,2.69686e+07,2.71488e+07,0.613911,0.00451448,0.00452552
5.07678,8.8,9.8,1.58393e+09,3.78312e+07,3.85819e+07,0.617704,0.00491694,0.00492424
