#mass ratio in the ADIAB simulation
#z,log10(mass_lower),log10(mass_upper),mass_mean,mass_errl,mass_erru,ratio_mean,ratio_errl,ratio_erru
#notes: redshift,"mass bin, lower end","mass bin, upper end",mean mass in the bin,"1sigma error of mass, lower end","1sigma error of mass, upper end",mean mass ratio in the bin,"1sigma error of mass ratio, lower end","1sigma error of mass ratio, upper end"
#units: 1,log10(Msol),log10(Msol),Msol,Msol,Msol,1,1,1
5.03809,10.2,11.2,3.6537e+10,5.8693e+09,7.21861e+09,0.762659,0.0384957,0.0362205
5.03809,10.3,11.3,4.20569e+10,7.09284e+09,8.64136e+09,0.756866,0.0459551,0.0437306
5.03809,10.4,11.4,5.0871e+10,9.06899e+09,1.1145e+10,0.760725,0.0535585,0.0502723
5.03809,10.5,11.5,6.15221e+10,1.1226e+10,1.39287e+10,0.774531,0.0638772,0.0577515
5.07678,7.5,8.5,8.83915e+07,533862,536079,0.75293,0.00177866,0.00178553
5.07678,7.6,8.6,1.09213e+08,725210,732986,0.759983,0.00184967,0.00186395
5.07678,7.7,8.7,1.34138e+08,979694,982839,0.766588,0.00196241,0.00193429
5.07678,7.8,8.8,1.68094e+08,1.35154e+06,1.38e+06,0.773979,0.00206444,0.00207891
5.07678,7.9,8.9,2.11228e+08,1.90014e+06,1.91323e+06,0.779751,0.00223896,0.00224217
5.07678,8,9,2.6481e+08,2.61706e+06,2.6411e+06,0.784779,0.00241566,0.0024204
5.07678,8.1,9.1,3.32832e+08,3.69856e+06,3.72335e+06,0.789682,0.00264476,0.00263056
5.07678,8.2,9.2,4.13365e+08,5.04496e+06,5.08403e+06,0.792343,0.00289213,0.00286808
5.07678,8.3,9.3,5.20193e+08,7.08077e+06,7.16301e+06,0.796052,0.00319182,0.00316376
5.07678,8.4,9.4,6.50192e+08,9.79308e+06,9.87849e+06,0.797882,0.00352257,0.00351916
5.07678,8.5,9.5,8.09962e+08,1.37775e+07,1.39547e+07,0.799889,0.00384747,0.00385802
5.07678,8.6,9.6,1.01301e+09,1.90976e+07,1.94551e+07,0.801274,0.00429123,0.00429159
5.07678,8.7,9.7,1.26356e+09,2.69083e+07,2.73153e+07,0.802169,0.00470108,0.00470283
5.07678,8.8,9.8,1.58483e+09,3.78768e+07,3.87334e+07,0.802068,0.00520076,0.00514921
5.07678,8.9,9.9,1.96245e+09,5.19211e+07,5.34176e+07,0.800385,0.00580651,0.00581295
5.07678,9,10,2.4467e+09,7.25457e+07,7.34122e+07,0.800305,0.00656236,0.00649559
5.07678,9.1,10.1,3.11388e+09,1.06265e+08,1.10009e+08,0.797685,0.00752706,0.00747429
5.07678,9.2,10.2,3.79708e+09,1.43032e+08,1.47673e+08,0.797267,0.00858255,0.00856115
5.07678,9.3,10.3,4.70391e+09,1.99976e+08,2.07624e+08,0.791437,0.00999805,0.00985494
5.07678,9.4,10.4,5.7537e+09,2.7988e+08,2.93362e+08,0.790153,0.0113249,0.011161
5.07678,9.5,10.5,7.10881e+09,3.9464e+08,4.17638e+08,0.788046,0.0129745,0.0130042
5.07678,9.6,10.6,8.86986e+09,5.76217e+08,6.20604e+08,0.780685,0.0148217,0.0146233
5.07678,9.7,10.7,1.11649e+10,8.32862e+08,9.0633e+08,0.776361,0.0184126,0.0181056
5.07678,9.8,10.8,1.44598e+10,1.30069e+09,1.42865e+09,0.777528,0.0216148,0.0218095
5.07678,9.9,10.9,1.72768e+10,1.7004e+09,1.88927e+09,0.78751,0.0250756,0.0252253
