#baryon fraction in the ADIAB simulation
#z,log10(mass_lower),log10(mass_upper),mass_mean,mass_errl,mass_erru,fb_mean,fb_errl,fb_erru
#notes: redshift,"mass bin, lower end","mass bin, upper end",mean mass in the bin,"1sigma error of mass, lower end","1sigma error of mass, upper end",mean baryon fraction in the bin,"1sigma error of baryon fraction, lower end","1sigma error of baryon fraction, upper end"
#units: 1,log10(Msol),log10(Msol),Msol,Msol,Msol,1,1,1
5.84486,8,9,2.61402e+08,2.74043e+06,2.75159e+06,0.738433,0.0014947,0.00148834
5.84486,8.1,9.1,3.26487e+08,3.80307e+06,3.83696e+06,0.766097,0.00148538,0.0014785
5.84486,8.2,9.2,4.06465e+08,5.20822e+06,5.296e+06,0.790195,0.00151353,0.00150002
5.84486,8.3,9.3,5.08903e+08,7.33309e+06,7.39391e+06,0.81047,0.00150993,0.00150962
5.84486,8.4,9.4,6.3867e+08,1.03536e+07,1.03993e+07,0.82822,0.00150046,0.00150103
5.84486,8.5,9.5,7.93059e+08,1.4344e+07,1.4561e+07,0.8419,0.00152655,0.00152301
5.84486,8.6,9.6,9.94419e+08,2.03556e+07,2.08825e+07,0.854048,0.00154709,0.00154133
5.84486,8.7,9.7,1.23401e+09,2.82621e+07,2.8886e+07,0.862902,0.00163751,0.001621
5.84486,8.8,9.8,1.54177e+09,3.93205e+07,4.00824e+07,0.871279,0.00172396,0.00172645
5.84486,8.9,9.9,1.9217e+09,5.61068e+07,5.75882e+07,0.877599,0.00177086,0.00176995
5.84486,9,10,2.411e+09,7.93215e+07,8.18297e+07,0.8822,0.00193656,0.00192576
5.84486,9.1,10.1,2.97601e+09,1.09489e+08,1.14878e+08,0.885667,0.00203303,0.00205363
5.84486,9.2,10.2,3.61489e+09,1.50449e+08,1.55999e+08,0.888272,0.00224059,0.00224273
5.84486,9.3,10.3,4.36625e+09,2.01658e+08,2.12727e+08,0.890061,0.00249186,0.0024626
5.84486,9.4,10.4,5.4407e+09,2.94243e+08,3.15743e+08,0.891032,0.00279772,0.0027849
5.84486,9.5,10.5,6.54363e+09,4.0119e+08,4.32272e+08,0.892314,0.0031095,0.00314116
5.84486,9.6,10.6,8.40574e+09,6.17269e+08,6.80614e+08,0.891583,0.00357885,0.00360531
5.84486,9.7,10.7,1.12185e+10,1.06733e+09,1.20656e+09,0.892532,0.00403476,0.00408538
5.84486,9.8,10.8,1.34548e+10,1.39392e+09,1.57523e+09,0.892432,0.00450881,0.00460973
5.84486,9.9,10.9,1.72788e+10,2.16105e+09,2.49695e+09,0.892991,0.00507883,0.0053108
5.84486,10,11,2.23516e+10,3.30395e+09,3.86937e+09,0.890078,0.00504939,0.00510678
5.84486,10.1,11.1,2.70969e+10,4.17268e+09,5.01384e+09,0.891039,0.00578127,0.00601731
5.84486,10.2,11.2,3.26728e+10,5.04455e+09,6.17181e+09,0.88744,0.00627573,0.00626413
5.84486,10.3,11.3,3.59227e+10,5.67596e+09,6.8872e+09,0.885236,0.00722652,0.00748523
5.84486,10.4,11.4,4.39596e+10,6.89866e+09,8.68971e+09,0.886324,0.00874068,0.00905215
5.84486,10.5,11.5,4.81755e+10,7.40528e+09,9.63066e+09,0.887351,0.0101412,0.0106708
5.89779,7.5,8.5,8.74666e+07,549835,550457,0.572801,0.00123509,0.00123347
5.89779,7.6,8.6,1.07732e+08,743474,748380,0.605373,0.00131227,0.00130883
5.89779,7.7,8.7,1.32969e+08,1.00993e+06,1.02545e+06,0.63871,0.0013907,0.00137943
5.89779,7.8,8.8,1.66561e+08,1.40482e+06,1.43267e+06,0.673474,0.00143496,0.00144091
5.89779,7.9,8.9,2.08935e+08,1.95347e+06,1.96717e+06,0.707882,0.00148165,0.00146413
5.89779,8,9,2.60429e+08,2.73798e+06,2.75482e+06,0.738113,0.00148662,0.00148196
5.89779,8.1,9.1,3.26758e+08,3.80691e+06,3.85999e+06,0.766435,0.00148204,0.00148556
5.89779,8.2,9.2,4.07195e+08,5.29713e+06,5.35635e+06,0.790098,0.00150562,0.00150009
5.89779,8.3,9.3,5.10502e+08,7.37615e+06,7.48837e+06,0.810686,0.0015215,0.00150387
5.89779,8.4,9.4,6.37428e+08,1.03441e+07,1.048e+07,0.82797,0.00154335,0.00150876
5.89779,8.5,9.5,7.94378e+08,1.44548e+07,1.47595e+07,0.841708,0.00158292,0.00157617
5.89779,8.6,9.6,9.9732e+08,2.06828e+07,2.08556e+07,0.853972,0.00156087,0.00155007
5.89779,8.7,9.7,1.22828e+09,2.79509e+07,2.88974e+07,0.863441,0.00160531,0.00160205
5.89779,8.8,9.8,1.53883e+09,3.93671e+07,4.00855e+07,0.87186,0.00170048,0.00168051
5.89779,8.9,9.9,1.9282e+09,5.70347e+07,5.84367e+07,0.877984,0.00178704,0.00178053
5.89779,9,10,2.39622e+09,7.95326e+07,8.2464e+07,0.882579,0.00195116,0.00193613
5.89779,9.1,10.1,2.94767e+09,1.08012e+08,1.12501e+08,0.885951,0.00207588,0.00207076
5.89779,9.2,10.2,3.57767e+09,1.46957e+08,1.51481e+08,0.888294,0.00229015,0.00229548
5.89779,9.3,10.3,4.38221e+09,2.07323e+08,2.18448e+08,0.890113,0.00250909,0.00249346
5.89779,9.4,10.4,5.39958e+09,2.99306e+08,3.18288e+08,0.891346,0.00279055,0.00279983
5.89779,9.5,10.5,6.56969e+09,4.17973e+08,4.54215e+08,0.892254,0.00313766,0.00315481
5.89779,9.6,10.6,8.57088e+09,6.75106e+08,7.40764e+08,0.893314,0.00356588,0.0035875
5.89779,9.7,10.7,1.08919e+10,1.04229e+09,1.1693e+09,0.893834,0.00410865,0.00418653
5.89779,9.8,10.8,1.32448e+10,1.3972e+09,1.56277e+09,0.894131,0.00473902,0.00480981
5.89779,9.9,10.9,1.75255e+10,2.26662e+09,2.60716e+09,0.894253,0.00552637,0.00587088
5.89779,10,11,2.25571e+10,3.38167e+09,3.99124e+09,0.890982,0.00559118,0.00562481
5.89779,10.1,11.1,2.66984e+10,4.14367e+09,4.97198e+09,0.890628,0.00660022,0.00686807
5.89779,10.2,11.2,3.14983e+10,4.92739e+09,5.97181e+09,0.888519,0.00711492,0.00717072
5.89779,10.3,11.3,3.69901e+10,6.03655e+09,7.31344e+09,0.886077,0.00933264,0.00968161
5.89779,10.4,11.4,4.46611e+10,6.90245e+09,8.75114e+09,0.888198,0.0116158,0.012383
5.89779,10.5,11.5,4.91109e+10,7.59373e+09,9.75641e+09,0.885199,0.0129171,0.01429
5.95175,7.5,8.5,8.73691e+07,549705,551225,0.573194,0.00123298,0.001228
5.95175,7.6,8.6,1.07817e+08,750801,743149,0.606119,0.00131702,0.0013182
5.95175,7.7,8.7,1.33058e+08,1.02313e+06,1.02538e+06,0.639385,0.00137644,0.00136575
5.95175,7.8,8.8,1.66477e+08,1.41625e+06,1.4242e+06,0.673732,0.00143653,0.00143278
5.95175,7.9,8.9,2.08765e+08,1.99088e+06,1.99121e+06,0.707955,0.00147863,0.00145705
5.95175,8,9,2.60982e+08,2.73959e+06,2.79275e+06,0.738598,0.00149056,0.00148797
5.95175,8.1,9.1,3.26225e+08,3.82724e+06,3.82977e+06,0.766716,0.00149384,0.00148925
5.95175,8.2,9.2,4.06203e+08,5.3171e+06,5.3553e+06,0.790276,0.00151062,0.00150597
5.95175,8.3,9.3,5.08405e+08,7.42957e+06,7.40978e+06,0.811084,0.00149871,0.00150507
5.95175,8.4,9.4,6.34454e+08,1.04684e+07,1.04772e+07,0.828118,0.00153922,0.001511
5.95175,8.5,9.5,7.94885e+08,1.46154e+07,1.48213e+07,0.842533,0.00154454,0.00154147
5.95175,8.6,9.6,9.94707e+08,2.06281e+07,2.09947e+07,0.854037,0.00156132,0.0015636
5.95175,8.7,9.7,1.22619e+09,2.82751e+07,2.90359e+07,0.863497,0.00162574,0.00162612
5.95175,8.8,9.8,1.52539e+09,3.90624e+07,3.96362e+07,0.871998,0.00169495,0.00169332
5.95175,8.9,9.9,1.91761e+09,5.69813e+07,5.85056e+07,0.878138,0.00179889,0.00178944
5.95175,9,10,2.3899e+09,7.9595e+07,8.20077e+07,0.882884,0.00196444,0.00196641
5.95175,9.1,10.1,2.91246e+09,1.06518e+08,1.11393e+08,0.885876,0.0021072,0.00210881
5.95175,9.2,10.2,3.56253e+09,1.47453e+08,1.55721e+08,0.888367,0.0023275,0.00232923
5.95175,9.3,10.3,4.42985e+09,2.20464e+08,2.34026e+08,0.890273,0.00250646,0.00250262
5.95175,9.4,10.4,5.41161e+09,3.09813e+08,3.29524e+08,0.891862,0.00285334,0.00285577
5.95175,9.5,10.5,6.65517e+09,4.3625e+08,4.71896e+08,0.892466,0.0031775,0.00314609
5.95175,9.6,10.6,8.5516e+09,6.66935e+08,7.42172e+08,0.893318,0.00358213,0.00363329
5.95175,9.7,10.7,1.1073e+10,1.09763e+09,1.24473e+09,0.893006,0.00424377,0.0043244
5.95175,9.8,10.8,1.30335e+10,1.37317e+09,1.53836e+09,0.894223,0.00461433,0.00476891
5.95175,9.9,10.9,1.74239e+10,2.25588e+09,2.58016e+09,0.894181,0.0054035,0.00580637
5.95175,10,11,2.23918e+10,3.29404e+09,3.93083e+09,0.891642,0.00495353,0.00496894
5.95175,10.1,11.1,2.61194e+10,3.97216e+09,4.69365e+09,0.890712,0.00576991,0.00594187
5.95175,10.2,11.2,3.10836e+10,4.80871e+09,5.80797e+09,0.88855,0.00664877,0.00653894
5.95175,10.3,11.3,3.78201e+10,6.17887e+09,7.39649e+09,0.887502,0.00860985,0.00884405
5.95175,10.4,11.4,4.41452e+10,6.88185e+09,8.65035e+09,0.886895,0.00869148,0.00917245
5.95175,10.5,11.5,4.90302e+10,7.39358e+09,9.57774e+09,0.884136,0.0103075,0.0116202
6.00677,7.5,8.5,8.7318e+07,554414,557939,0.573826,0.00123885,0.00122699
6.00677,7.6,8.6,1.0774e+08,748998,754803,0.606365,0.00130806,0.00131599
6.00677,7.7,8.7,1.32912e+08,1.01698e+06,1.03401e+06,0.639644,0.00136858,0.00138628
6.00677,7.8,8.8,1.65935e+08,1.41625e+06,1.42222e+06,0.673726,0.00142585,0.00143004
6.00677,7.9,8.9,2.09156e+08,1.98339e+06,2.00445e+06,0.708403,0.00147425,0.00146398
6.00677,8,9,2.60858e+08,2.73705e+06,2.77784e+06,0.738627,0.00149494,0.00148523
6.00677,8.1,9.1,3.25044e+08,3.79369e+06,3.84431e+06,0.766429,0.00149318,0.0014973
6.00677,8.2,9.2,4.06006e+08,5.28375e+06,5.33943e+06,0.790243,0.0015101,0.00151881
6.00677,8.3,9.3,5.07019e+08,7.45791e+06,7.49338e+06,0.810373,0.00153968,0.00151955
6.00677,8.4,9.4,6.32822e+08,1.03523e+07,1.05714e+07,0.827734,0.00153099,0.00152594
6.00677,8.5,9.5,7.93098e+08,1.47359e+07,1.49009e+07,0.841826,0.00156888,0.00155453
6.00677,8.6,9.6,9.92065e+08,2.08452e+07,2.11717e+07,0.853597,0.00161716,0.00161368
6.00677,8.7,9.7,1.22888e+09,2.8779e+07,2.96014e+07,0.863289,0.00162586,0.00164289
6.00677,8.8,9.8,1.52436e+09,3.95758e+07,4.04706e+07,0.872102,0.00167762,0.00168409
6.00677,8.9,9.9,1.91906e+09,5.67464e+07,5.84086e+07,0.878089,0.00181122,0.00180863
6.00677,9,10,2.383e+09,7.9354e+07,8.16066e+07,0.882741,0.001996,0.00198395
6.00677,9.1,10.1,2.89555e+09,1.06375e+08,1.10037e+08,0.885635,0.00212813,0.00213637
6.00677,9.2,10.2,3.53392e+09,1.45517e+08,1.53276e+08,0.888433,0.00236721,0.00236999
6.00677,9.3,10.3,4.40901e+09,2.208e+08,2.33386e+08,0.889914,0.00249105,0.00249425
6.00677,9.4,10.4,5.35999e+09,3.02336e+08,3.20453e+08,0.890952,0.00293253,0.00293569
6.00677,9.5,10.5,6.62676e+09,4.3129e+08,4.65091e+08,0.890995,0.00328147,0.00329619
6.00677,9.6,10.6,8.44893e+09,6.57265e+08,7.21291e+08,0.891911,0.00366036,0.00366869
6.00677,9.7,10.7,1.10672e+10,1.09901e+09,1.23883e+09,0.891337,0.00433029,0.00437177
6.00677,9.8,10.8,1.30197e+10,1.38201e+09,1.5347e+09,0.893213,0.00473753,0.00485226
6.00677,9.9,10.9,1.72199e+10,2.21174e+09,2.55275e+09,0.892453,0.0059727,0.00621541
6.00677,10,11,2.20378e+10,3.23528e+09,3.82439e+09,0.889119,0.00530552,0.00531509
6.00677,10.1,11.1,2.56903e+10,3.88018e+09,4.60933e+09,0.886394,0.00607386,0.00601345
6.00677,10.2,11.2,3.01851e+10,4.67549e+09,5.64964e+09,0.884439,0.00701445,0.00690254
6.00677,10.3,11.3,3.75547e+10,6.06822e+09,7.24442e+09,0.885324,0.00917429,0.0089927
6.00677,10.4,11.4,4.30234e+10,6.63087e+09,8.21919e+09,0.886871,0.00952716,0.00975019
6.00677,10.5,11.5,4.77549e+10,7.09566e+09,9.19383e+09,0.884864,0.0117222,0.0125225
6.06289,7.5,8.5,8.71734e+07,556316,554111,0.573889,0.00124041,0.0012419
6.06289,7.6,8.6,1.07602e+08,750085,756217,0.60675,0.00131019,0.00130578
6.06289,7.7,8.7,1.32789e+08,1.02071e+06,1.03664e+06,0.639918,0.0013745,0.00137788
6.06289,7.8,8.8,1.65727e+08,1.42232e+06,1.43424e+06,0.673996,0.00143729,0.00142587
6.06289,7.9,8.9,2.08806e+08,1.99561e+06,1.99784e+06,0.708434,0.00147205,0.00145694
6.06289,8,9,2.61062e+08,2.78506e+06,2.79357e+06,0.73901,0.00147486,0.0014706
6.06289,8.1,9.1,3.23902e+08,3.78088e+06,3.86973e+06,0.766186,0.00149583,0.0014825
6.06289,8.2,9.2,4.05568e+08,5.30416e+06,5.4004e+06,0.790236,0.00151769,0.00151513
6.06289,8.3,9.3,5.06858e+08,7.4421e+06,7.50505e+06,0.810479,0.00153267,0.00153223
6.06289,8.4,9.4,6.30342e+08,1.02561e+07,1.0451e+07,0.82813,0.00151795,0.0014983
6.06289,8.5,9.5,7.94967e+08,1.48808e+07,1.52617e+07,0.842291,0.00153832,0.00153892
6.06289,8.6,9.6,9.85529e+08,2.04629e+07,2.0939e+07,0.853884,0.00159448,0.00157566
6.06289,8.7,9.7,1.23025e+09,2.90776e+07,2.99311e+07,0.863653,0.0016432,0.0016449
6.06289,8.8,9.8,1.52664e+09,3.99758e+07,4.11845e+07,0.872614,0.00172438,0.00170732
6.06289,8.9,9.9,1.9047e+09,5.63958e+07,5.85663e+07,0.878151,0.00188058,0.00186951
6.06289,9,10,2.36675e+09,7.91428e+07,8.1619e+07,0.882758,0.00206528,0.00206179
6.06289,9.1,10.1,2.87742e+09,1.06913e+08,1.1199e+08,0.886074,0.0021944,0.00219319
6.06289,9.2,10.2,3.51075e+09,1.46839e+08,1.53671e+08,0.888838,0.00243246,0.0024389
6.06289,9.3,10.3,4.38013e+09,2.21598e+08,2.33792e+08,0.889914,0.00256529,0.00254819
6.06289,9.4,10.4,5.33484e+09,3.10592e+08,3.33248e+08,0.891366,0.00296461,0.00298621
6.06289,9.5,10.5,6.60719e+09,4.29278e+08,4.6576e+08,0.890652,0.00335955,0.00336248
6.06289,9.6,10.6,8.28708e+09,6.48419e+08,7.18796e+08,0.892324,0.00384985,0.00388176
6.06289,9.7,10.7,1.11023e+10,1.11924e+09,1.25624e+09,0.89191,0.00456707,0.00460153
6.06289,9.8,10.8,1.31425e+10,1.40859e+09,1.57626e+09,0.89285,0.00498581,0.00514879
6.06289,9.9,10.9,1.71456e+10,2.20887e+09,2.57066e+09,0.89238,0.00614794,0.00656707
6.06289,10,11,2.16301e+10,3.15507e+09,3.76544e+09,0.889898,0.00554568,0.00557755
6.06289,10.1,11.1,2.57443e+10,3.89568e+09,4.66075e+09,0.888501,0.00644035,0.00641846
6.06289,10.2,11.2,2.97236e+10,4.6032e+09,5.54665e+09,0.88641,0.00753838,0.00722836
6.06289,10.3,11.3,3.71875e+10,6.00257e+09,7.1876e+09,0.888467,0.00843302,0.00864491
6.06289,10.4,11.4,4.40512e+10,6.60797e+09,8.28515e+09,0.888613,0.0112637,0.0113436
6.06289,10.5,11.5,4.64651e+10,6.8289e+09,8.69507e+09,0.887102,0.0125076,0.0128052
6.12014,7.5,8.5,8.7153e+07,554406,552080,0.574996,0.0012352,0.00123315
6.12014,7.6,8.6,1.07438e+08,755864,755104,0.607177,0.00130706,0.00131701
6.12014,7.7,8.7,1.32803e+08,1.026e+06,1.03626e+06,0.640377,0.00138452,0.00137617
6.12014,7.8,8.8,1.65558e+08,1.42106e+06,1.44409e+06,0.674581,0.00141882,0.00142159
6.12014,7.9,8.9,2.08442e+08,1.99316e+06,2.01327e+06,0.709065,0.0014653,0.00147588
6.12014,8,9,2.60427e+08,2.77362e+06,2.79646e+06,0.739394,0.00148969,0.00148213
6.12014,8.1,9.1,3.23458e+08,3.82829e+06,3.85561e+06,0.766468,0.001498,0.00148988
6.12014,8.2,9.2,4.04017e+08,5.37916e+06,5.37059e+06,0.79014,0.00151794,0.00151443
6.12014,8.3,9.3,5.04959e+08,7.48102e+06,7.48677e+06,0.810735,0.00152414,0.00150602
6.12014,8.4,9.4,6.28736e+08,1.04955e+07,1.05293e+07,0.827674,0.00151319,0.00151257
6.12014,8.5,9.5,7.90421e+08,1.49442e+07,1.51028e+07,0.841722,0.00154685,0.00152411
6.12014,8.6,9.6,9.8354e+08,2.07281e+07,2.114e+07,0.853108,0.00161762,0.00160757
6.12014,8.7,9.7,1.23205e+09,2.92858e+07,3.01205e+07,0.86329,0.00165416,0.00165026
6.12014,8.8,9.8,1.52485e+09,4.03449e+07,4.12901e+07,0.871756,0.00173802,0.00176037
6.12014,8.9,9.9,1.90234e+09,5.6771e+07,5.88169e+07,0.877208,0.00190111,0.00188281
6.12014,9,10,2.36043e+09,7.89787e+07,8.11038e+07,0.881816,0.00208133,0.00209478
6.12014,9.1,10.1,2.8921e+09,1.08778e+08,1.13172e+08,0.885523,0.00221985,0.00223015
6.12014,9.2,10.2,3.51922e+09,1.4837e+08,1.56922e+08,0.888272,0.00246534,0.00246943
6.12014,9.3,10.3,4.34367e+09,2.21196e+08,2.336e+08,0.889595,0.002589,0.0025947
6.12014,9.4,10.4,5.30836e+09,3.12955e+08,3.37321e+08,0.890869,0.00297821,0.00298808
6.12014,9.5,10.5,6.69177e+09,4.74598e+08,5.10761e+08,0.890377,0.00333868,0.00338212
6.12014,9.6,10.6,8.3944e+09,6.88959e+08,7.7453e+08,0.89155,0.00383337,0.00390688
6.12014,9.7,10.7,1.11043e+10,1.12631e+09,1.25675e+09,0.891216,0.00461273,0.00473573
6.12014,9.8,10.8,1.30545e+10,1.40255e+09,1.57044e+09,0.891965,0.00505106,0.0052853
6.12014,9.9,10.9,1.72139e+10,2.2047e+09,2.55955e+09,0.891089,0.00605696,0.00644438
6.12014,10,11,2.1496e+10,3.11832e+09,3.67876e+09,0.889634,0.00574996,0.00579602
6.12014,10.1,11.1,2.59915e+10,3.88806e+09,4.6044e+09,0.887639,0.00692043,0.00690673
6.12014,10.2,11.2,2.97976e+10,4.51438e+09,5.4359e+09,0.885596,0.00788388,0.0073055
6.12014,10.3,11.3,3.66511e+10,5.70825e+09,6.83212e+09,0.890377,0.00859544,0.00818605
6.12014,10.4,11.4,4.32427e+10,6.16113e+09,7.90993e+09,0.887287,0.0112372,0.0107046
6.12014,10.5,11.5,6.83558e+10,2.5873e+10,4.7626e+10,0.880255,0.0108069,0.0105699
6.17857,7.5,8.5,8.69697e+07,550733,560911,0.575227,0.0012282,0.00121598
6.17857,7.6,8.6,1.07417e+08,759315,762423,0.607524,0.00131223,0.00131178
6.17857,7.7,8.7,1.32664e+08,1.03495e+06,1.03719e+06,0.640447,0.00138597,0.00137485
6.17857,7.8,8.8,1.65599e+08,1.43288e+06,1.44003e+06,0.67468,0.00143544,0.00143172
6.17857,7.9,8.9,2.08381e+08,2.00685e+06,2.02359e+06,0.709076,0.00147415,0.001474
6.17857,8,9,2.59638e+08,2.78317e+06,2.82407e+06,0.739156,0.00148727,0.0014875
6.17857,8.1,9.1,3.23157e+08,3.852e+06,3.87824e+06,0.766722,0.00150284,0.0014938
6.17857,8.2,9.2,4.03598e+08,5.33871e+06,5.44859e+06,0.790373,0.00152365,0.00151231
6.17857,8.3,9.3,5.05402e+08,7.53744e+06,7.57675e+06,0.810798,0.00153235,0.00151841
6.17857,8.4,9.4,6.29194e+08,1.04875e+07,1.06693e+07,0.827729,0.00151611,0.00150746
6.17857,8.5,9.5,7.93068e+08,1.52424e+07,1.54496e+07,0.841632,0.00156114,0.00154892
6.17857,8.6,9.6,9.83629e+08,2.0972e+07,2.10836e+07,0.852747,0.00162766,0.00161633
6.17857,8.7,9.7,1.22558e+09,2.90856e+07,2.95177e+07,0.862845,0.00169271,0.00167087
6.17857,8.8,9.8,1.52516e+09,4.06457e+07,4.11765e+07,0.871172,0.00177208,0.00177167
6.17857,8.9,9.9,1.90318e+09,5.72456e+07,5.90561e+07,0.876723,0.00187135,0.00187691
6.17857,9,10,2.35115e+09,7.87551e+07,8.12141e+07,0.881137,0.00208343,0.00207999
6.17857,9.1,10.1,2.88037e+09,1.10477e+08,1.14901e+08,0.884999,0.00221752,0.00222724
6.17857,9.2,10.2,3.45718e+09,1.44377e+08,1.52177e+08,0.887856,0.00242398,0.00247183
6.17857,9.3,10.3,4.33498e+09,2.24772e+08,2.4056e+08,0.888872,0.00264331,0.00263291
6.17857,9.4,10.4,5.23129e+09,3.08212e+08,3.33348e+08,0.890286,0.00290403,0.00294754
6.17857,9.5,10.5,6.67814e+09,4.74196e+08,5.20004e+08,0.890465,0.0034544,0.00348823
6.17857,9.6,10.6,8.5242e+09,7.44408e+08,8.32691e+08,0.892093,0.00383467,0.00381844
6.17857,9.7,10.7,1.08796e+10,1.10888e+09,1.23674e+09,0.89169,0.00456473,0.00457051
6.17857,9.8,10.8,1.37449e+10,1.66844e+09,1.91206e+09,0.893288,0.00512824,0.00528651
6.17857,9.9,10.9,1.78468e+10,2.51375e+09,2.92321e+09,0.892096,0.00608073,0.00636513
6.17857,10,11,2.14468e+10,3.12293e+09,3.70323e+09,0.890411,0.00632638,0.00638148
6.17857,10.1,11.1,2.64894e+10,3.94035e+09,4.72034e+09,0.887807,0.0075304,0.00689532
6.17857,10.2,11.2,2.89657e+10,4.38599e+09,5.24558e+09,0.886366,0.00866731,0.00787104
6.17857,10.3,11.3,3.72285e+10,5.72369e+09,6.89073e+09,0.889015,0.0102349,0.0100045
6.17857,10.4,11.4,4.20445e+10,5.96131e+09,7.59108e+09,0.887761,0.0123735,0.0121905
6.17857,10.5,11.5,6.56526e+10,2.44872e+10,4.48245e+10,0.878549,0.0114131,0.0109917
6.23819,7.5,8.5,8.68568e+07,556896,557802,0.575668,0.00123377,0.00123405
6.23819,7.6,8.6,1.07396e+08,765230,761908,0.608129,0.00132689,0.00131916
6.23819,7.7,8.7,1.32564e+08,1.04224e+06,1.0521e+06,0.640481,0.00138783,0.00138174
6.23819,7.8,8.8,1.6531e+08,1.44457e+06,1.45761e+06,0.67485,0.00144279,0.00143729
6.23819,7.9,8.9,2.07897e+08,2.00985e+06,2.01107e+06,0.709337,0.00146707,0.00145456
6.23819,8,9,2.59249e+08,2.7876e+06,2.83067e+06,0.739237,0.001492,0.00148971
6.23819,8.1,9.1,3.23075e+08,3.85087e+06,3.94807e+06,0.76657,0.00151357,0.00150363
6.23819,8.2,9.2,4.02537e+08,5.29925e+06,5.37175e+06,0.790624,0.00150408,0.00150242
6.23819,8.3,9.3,5.07211e+08,7.63908e+06,7.72983e+06,0.81107,0.00150991,0.0015125
6.23819,8.4,9.4,6.30493e+08,1.06336e+07,1.08934e+07,0.827426,0.00154006,0.00154299
6.23819,8.5,9.5,7.95731e+08,1.52849e+07,1.56037e+07,0.841826,0.00156615,0.00156766
6.23819,8.6,9.6,9.8481e+08,2.0806e+07,2.12923e+07,0.853145,0.00164111,0.00162333
6.23819,8.7,9.7,1.22589e+09,2.92502e+07,2.96873e+07,0.863138,0.00168539,0.0016833
6.23819,8.8,9.8,1.52663e+09,4.09086e+07,4.15527e+07,0.871342,0.00175889,0.00175995
6.23819,8.9,9.9,1.9086e+09,5.80721e+07,5.91579e+07,0.876628,0.00189976,0.00191728
6.23819,9,10,2.35586e+09,7.97178e+07,8.20775e+07,0.881088,0.00207269,0.00206302
6.23819,9.1,10.1,2.88972e+09,1.10727e+08,1.16438e+08,0.884772,0.00224108,0.00224234
6.23819,9.2,10.2,3.44616e+09,1.44911e+08,1.53037e+08,0.887686,0.00248615,0.00248783
6.23819,9.3,10.3,4.34656e+09,2.23909e+08,2.39041e+08,0.889598,0.00269258,0.00270606
6.23819,9.4,10.4,5.21034e+09,3.07184e+08,3.30108e+08,0.889905,0.00288886,0.00294102
6.23819,9.5,10.5,6.68849e+09,4.66285e+08,5.1467e+08,0.890173,0.00346613,0.00351612
6.23819,9.6,10.6,8.59626e+09,7.71712e+08,8.57297e+08,0.891413,0.00389193,0.00391878
6.23819,9.7,10.7,1.06988e+10,1.06863e+09,1.20082e+09,0.892422,0.00441511,0.00449376
6.23819,9.8,10.8,1.36678e+10,1.65066e+09,1.89677e+09,0.892872,0.00517144,0.00535963
6.23819,9.9,10.9,1.7761e+10,2.46728e+09,2.90958e+09,0.891715,0.0060936,0.00644148
6.23819,10,11,2.12539e+10,3.09058e+09,3.62045e+09,0.890138,0.00659112,0.00653761
6.23819,10.1,11.1,2.60963e+10,3.91969e+09,4.63574e+09,0.888267,0.00820416,0.00750803
6.23819,10.2,11.2,2.85467e+10,4.3281e+09,5.18081e+09,0.886002,0.00915638,0.00823781
6.23819,10.3,11.3,3.62179e+10,5.5057e+09,6.73442e+09,0.887689,0.0102964,0.00997483
6.23819,10.4,11.4,4.09673e+10,5.82387e+09,7.4066e+09,0.885105,0.012234,0.0116964
6.23819,10.5,11.5,6.2569e+10,2.25767e+10,4.09534e+10,0.875408,0.0117754,0.0108121
6.29907,7.5,8.5,8.69003e+07,553620,560726,0.576075,0.00122359,0.00123608
6.29907,7.6,8.6,1.07509e+08,759426,775495,0.608516,0.00130805,0.00131687
6.29907,7.7,8.7,1.32554e+08,1.04488e+06,1.05582e+06,0.640897,0.00138098,0.00137782
6.29907,7.8,8.8,1.65164e+08,1.4392e+06,1.44492e+06,0.675052,0.00144324,0.00143538
6.29907,7.9,8.9,2.07634e+08,2.0133e+06,2.01765e+06,0.709009,0.00147043,0.00146604
6.29907,8,9,2.59168e+08,2.78578e+06,2.82685e+06,0.739329,0.00148443,0.0014813
6.29907,8.1,9.1,3.21742e+08,3.84647e+06,3.89282e+06,0.765907,0.00152463,0.00151676
6.29907,8.2,9.2,4.00875e+08,5.32659e+06,5.41758e+06,0.789926,0.00150947,0.00152017
6.29907,8.3,9.3,5.0424e+08,7.66269e+06,7.66987e+06,0.81045,0.00153778,0.00154491
6.29907,8.4,9.4,6.2965e+08,1.06486e+07,1.0831e+07,0.827512,0.0015528,0.00153752
6.29907,8.5,9.5,7.95248e+08,1.53008e+07,1.56511e+07,0.841405,0.00159134,0.00157432
6.29907,8.6,9.6,9.84545e+08,2.11142e+07,2.16498e+07,0.852639,0.00165978,0.00166638
6.29907,8.7,9.7,1.22129e+09,2.92728e+07,2.99729e+07,0.862791,0.0017086,0.00170407
6.29907,8.8,9.8,1.51118e+09,4.06822e+07,4.14541e+07,0.870716,0.0018083,0.0018089
6.29907,8.9,9.9,1.88983e+09,5.76137e+07,5.9078e+07,0.876894,0.00192973,0.00192377
6.29907,9,10,2.32549e+09,7.85105e+07,8.09407e+07,0.881313,0.00210909,0.00213018
6.29907,9.1,10.1,2.85166e+09,1.10704e+08,1.15554e+08,0.88486,0.00225074,0.00223922
