#baryon fraction in the ADIAB simulation
#z,log10(mass_lower),log10(mass_upper),mass_mean,mass_errl,mass_erru,fb_mean,fb_errl,fb_erru
#notes: redshift,"mass bin, lower end","mass bin, upper end",mean mass in the bin,"1sigma error of mass, lower end","1sigma error of mass, upper end",mean baryon fraction in the bin,"1sigma error of baryon fraction, lower end","1sigma error of baryon fraction, upper end"
#units: 1,log10(Msol),log10(Msol),Msol,Msol,Msol,1,1,1
5.03809,10.2,11.2,3.65133e+10,5.8635e+09,7.19608e+09,0.893108,0.00642512,0.00658645
5.03809,10.3,11.3,4.20417e+10,7.02895e+09,8.63797e+09,0.889819,0.00694245,0.00696988
5.03809,10.4,11.4,5.08857e+10,9.03117e+09,1.10844e+10,0.891977,0.0084704,0.00833775
5.03809,10.5,11.5,6.15456e+10,1.12692e+10,1.3875e+10,0.890666,0.00884681,0.00907694
5.07678,7.5,8.5,8.83953e+07,534110,534420,0.562525,0.00127194,0.00127182
5.07678,7.6,8.6,1.09219e+08,726568,725668,0.597415,0.00135243,0.00135173
5.07678,7.7,8.7,1.3414e+08,977052,979454,0.632081,0.00141299,0.00142478
5.07678,7.8,8.8,1.68093e+08,1.35284e+06,1.3569e+06,0.66913,0.0014554,0.00144937
5.07678,7.9,8.9,2.11224e+08,1.8956e+06,1.90053e+06,0.704115,0.00151458,0.00149618
5.07678,8,9,2.64805e+08,2.64142e+06,2.65265e+06,0.736255,0.00150469,0.00150269
5.07678,8.1,9.1,3.32832e+08,3.7071e+06,3.7074e+06,0.765472,0.00150062,0.00149179
5.07678,8.2,9.2,4.13354e+08,5.04727e+06,5.12104e+06,0.789923,0.00150907,0.00147279
5.07678,8.3,9.3,5.20202e+08,7.09245e+06,7.13403e+06,0.811351,0.00149215,0.00149352
5.07678,8.4,9.4,6.50163e+08,9.7425e+06,9.87839e+06,0.829838,0.001508,0.00149797
5.07678,8.5,9.5,8.09945e+08,1.35886e+07,1.38962e+07,0.843824,0.00152816,0.0015072
5.07678,8.6,9.6,1.01309e+09,1.91638e+07,1.94401e+07,0.855996,0.00154229,0.00154817
5.07678,8.7,9.7,1.26367e+09,2.68087e+07,2.73779e+07,0.866366,0.00152835,0.00151041
5.07678,8.8,9.8,1.58497e+09,3.74322e+07,3.85057e+07,0.87473,0.00159075,0.00157922
5.07678,8.9,9.9,1.96251e+09,5.19409e+07,5.30039e+07,0.880527,0.00166662,0.00165572
5.07678,9,10,2.44643e+09,7.24621e+07,7.42162e+07,0.88565,0.00178693,0.00177712
5.07678,9.1,10.1,3.11417e+09,1.06386e+08,1.09964e+08,0.889159,0.00191137,0.00192559
5.07678,9.2,10.2,3.7968e+09,1.41866e+08,1.49401e+08,0.891872,0.00204577,0.00206383
5.07678,9.3,10.3,4.70303e+09,1.98051e+08,2.07889e+08,0.894108,0.00229957,0.00230715
5.07678,9.4,10.4,5.75315e+09,2.78647e+08,2.92617e+08,0.894307,0.00245857,0.00250986
5.07678,9.5,10.5,7.10948e+09,3.93003e+08,4.19144e+08,0.894196,0.00267185,0.00266602
5.07678,9.6,10.6,8.86678e+09,5.77879e+08,6.26008e+08,0.896021,0.00306482,0.00306729
5.07678,9.7,10.7,1.11612e+10,8.26694e+08,9.04664e+08,0.895413,0.00353716,0.00355747
5.07678,9.8,10.8,1.44544e+10,1.28979e+09,1.43806e+09,0.895169,0.0037954,0.00387005
5.07678,9.9,10.9,1.72795e+10,1.67781e+09,1.90513e+09,0.896263,0.00444293,0.00456891
5.07678,10,11,2.10995e+10,2.35324e+09,2.70042e+09,0.895708,0.00490073,0.00490635
5.07678,10.1,11.1,2.7849e+10,3.67171e+09,4.35998e+09,0.894566,0.0059252,0.00600473
5.07678,10.2,11.2,3.60937e+10,5.83644e+09,7.16219e+09,0.895509,0.00657793,0.00678633
5.07678,10.3,11.3,4.2553e+10,7.16335e+09,8.84588e+09,0.892733,0.0070035,0.00712387
5.07678,10.4,11.4,5.07485e+10,9.0551e+09,1.11322e+10,0.894149,0.0080143,0.00795532
5.07678,10.5,11.5,6.03896e+10,1.10365e+10,1.37789e+10,0.893358,0.00915118,0.0092793
5.11609,7.5,8.5,8.85348e+07,535490,539896,0.563557,0.00127178,0.00128029
5.11609,7.6,8.6,1.09223e+08,726276,733418,0.598093,0.00135623,0.00135215
5.11609,7.7,8.7,1.34233e+08,981197,989822,0.632985,0.00140801,0.00140864
5.11609,7.8,8.8,1.68131e+08,1.3679e+06,1.36936e+06,0.669733,0.00145378,0.00145364
5.11609,7.9,8.9,2.11901e+08,1.9027e+06,1.91548e+06,0.705142,0.00150293,0.00149271
5.11609,8,9,2.65354e+08,2.6573e+06,2.68271e+06,0.737138,0.00150491,0.00150791
5.11609,8.1,9.1,3.32652e+08,3.67481e+06,3.71631e+06,0.76613,0.00151963,0.00150208
5.11609,8.2,9.2,4.13966e+08,5.03782e+06,5.11237e+06,0.790363,0.00149349,0.00148451
5.11609,8.3,9.3,5.19961e+08,7.05071e+06,7.15679e+06,0.811792,0.00150453,0.00148947
5.11609,8.4,9.4,6.49035e+08,9.74682e+06,9.89283e+06,0.829964,0.00150548,0.00149014
5.11609,8.5,9.5,8.13131e+08,1.37909e+07,1.39719e+07,0.844057,0.0015011,0.00149449
